ID,Squares,No_of_rooms,Address,Price,One_Sq
4040,101,4.0,Beograd Opština Voždovac,255000,1490.3747385405104
4041,40,1.5,Beograd Opština Zvezdara,40000,1461.4519261140167
4042,21,1.0,Beograd Opština Stari grad,42000,2531.903872181951
4043,84,3.0,Beograd Opština Zvezdara,155000,1461.4519261140167
4044,55,2.5,Beograd Opština Voždovac,112600,1490.3747385405104
4045,55,2.5,Beograd Opština Voždovac,112600,1490.3747385405104
4046,55,2.5,Beograd Opština Voždovac,112600,1490.3747385405104
4047,69,3.0,Beograd Opština Rakovica,87000,991.4218432222813
4048,58,2.0,Beograd Opština Novi Beograd,99500,1735.3775474934005
4049,45,3.0,Beograd Opština Savski venac,75000,2723.3487453316557
4050,50,1.0,Beograd Opština Vračar,109000,2275.3672683163954
4051,96,3.0,Beograd Opština Čukarica,145000,1324.4002797487278
4052,36,1.5,Beograd Opština Vračar,97000,2275.3672683163954
4053,56,2.5,Beograd Opština Novi Beograd,105000,1735.3775474934005
4054,68,3.5,Beograd Opština Zemun,68000,1230.719435933011
4055,47,2.0,Beograd Opština Zemun,50000,1230.719435933011
4056,64,3.0,Beograd Opština Stari grad,162000,2531.903872181951
4057,72,2.5,Beograd Opština Voždovac,73000,1490.3747385405104
4058,91,3.5,Beograd Opština Zemun,119900,1230.719435933011
4059,57,2.5,Beograd Opština Novi Beograd,117000,1735.3775474934005
4060,73,3.0,Beograd Opština Voždovac,135000,1490.3747385405104
4061,30,1.0,Beograd Opština Čukarica,25000,1324.4002797487278
4062,67,3.0,Beograd Opština Stari grad,140000,2531.903872181951
4063,46,2.0,Beograd Opština Vračar,124000,2275.3672683163954
4064,41,2.0,Beograd Opština Zvezdara,50000,1461.4519261140167
4065,92,3.5,Beograd Opština Vračar,229000,2275.3672683163954
4066,72,2.5,Beograd Opština Vračar,200000,2275.3672683163954
4067,49,1.5,Beograd Opština Zvezdara,56100,1461.4519261140167
4068,44,1.0,Beograd Opština Voždovac,77000,1490.3747385405104
4069,36,1.5,Beograd Opština Voždovac,60000,1490.3747385405104
4070,39,2.5,Beograd Opština Voždovac,39000,1490.3747385405104
4071,75,3.0,Beograd Opština Palilula,110000,1282.912470736089
4073,115,4.0,Beograd Opština Stari grad,200000,2531.903872181951
4074,77,2.5,Beograd Opština Voždovac,94500,1490.3747385405104
4076,130,4.0,Beograd Opština Stari grad,265000,2531.903872181951
4077,133,5+,Beograd Opština Voždovac,139000,1490.3747385405104
4078,36,1.5,Beograd Opština Novi Beograd,72000,1735.3775474934005
4079,44,1.5,Beograd Opština Novi Beograd,84999,1735.3775474934005
4080,90,3.5,Beograd Opština Novi Beograd,125000,1735.3775474934005
4082,78,3.0,Beograd Opština Čukarica,58000,1324.4002797487278
4083,72,3.0,Beograd Opština Voždovac,82000,1490.3747385405104
4084,45,2.0,Beograd Opština Palilula,60000,1282.912470736089
4085,39,2.0,Beograd Opština Zvezdara,39900,1461.4519261140167
4086,74,3.0,Beograd Opština Zvezdara,62000,1461.4519261140167
4087,58,2.0,Beograd Opština Novi Beograd,97700,1735.3775474934005
4088,27,0.5,Beograd Opština Voždovac,54500,1490.3747385405104
4089,66,1.5,Beograd Opština Zvezdara,45000,1461.4519261140167
4090,52,2.0,Beograd Opština Palilula,88000,1282.912470736089
4091,76,3.0,Beograd Opština Savski venac,115000,2723.3487453316557
4092,76,3.0,Beograd Opština Novi Beograd,94000,1735.3775474934005
4093,51,2.0,Beograd Opština Rakovica,56000,991.4218432222813
4094,44,2.0,Beograd Opština Zemun,73095,1230.719435933011
4095,79,2.0,Beograd Opština Novi Beograd,78000,1735.3775474934005
4096,75,3.5,Beograd Opština Rakovica,63900,991.4218432222813
4097,31,0.5,Beograd Opština Voždovac,49600,1490.3747385405104
4098,42,2.0,Beograd Opština Novi Beograd,45000,1735.3775474934005
4099,145,4.0,Beograd Opština Zvezdara,210000,1461.4519261140167
4100,79,3.0,Beograd Opština Čukarica,137000,1324.4002797487278
4101,34,1.5,Beograd Opština Zvezdara,44000,1461.4519261140167
4103,25,0.5,Beograd Opština Zvezdara,31000,1461.4519261140167
4104,110,4.0,Beograd Opština Voždovac,143000,1490.3747385405104
4105,95,4.0,Beograd Opština Novi Beograd,144000,1735.3775474934005
4106,72,3.0,Beograd Opština Voždovac,81000,1490.3747385405104
4107,56,2.5,Beograd Opština Zvezdara,104900,1461.4519261140167
4108,35,1.0,Beograd Opština Novi Beograd,66990,1735.3775474934005
4109,64,2.5,Beograd Opština Novi Beograd,144990,1735.3775474934005
4110,118,4.0,Beograd Opština Zemun,85000,1230.719435933011
4111,58,2.0,Beograd Opština Palilula,61900,1282.912470736089
4112,90,4.0,Beograd Opština Vračar,180000,2275.3672683163954
4113,57.46,3.0,Beograd Opština Zemun,37000,1230.719435933011
4114,80,3.0,Beograd Opština Novi Beograd,130000,1735.3775474934005
4115,69,2.0,Beograd Opština Novi Beograd,75900,1735.3775474934005
4116,50.30,2.0,Beograd Opština Novi Beograd,55300,1735.3775474934005
4117,80,3.0,Beograd Opština Vračar,156900,2275.3672683163954
4118,33,1.5,Beograd Opština Zvezdara,44000,1461.4519261140167
4119,103,4.0,Beograd Opština Voždovac,138000,1490.3747385405104
4120,117,3.0,Beograd Opština Vračar,240000,2275.3672683163954
4121,65,2.0,Beograd Opština Stari grad,180000,2531.903872181951
4122,65,2.5,Beograd Opština Stari grad,180000,2531.903872181951
4124,65,2.0,Beograd Opština Rakovica,68900,991.4218432222813
4125,87,4.0,Beograd Opština Vračar,192000,2275.3672683163954
4126,65,2.0,Beograd Opština Novi Beograd,118900,1735.3775474934005
4127,115,4.0,Beograd Opština Vračar,255000,2275.3672683163954
4128,58,2.0,Beograd Opština Novi Beograd,99500,1735.3775474934005
4129,77,2.5,Beograd Opština Voždovac,81000,1490.3747385405104
4130,78,2.0,Beograd Opština Savski venac,161000,2723.3487453316557
4131,79,3.5,Beograd Opština Stari grad,237000,2531.903872181951
4132,80,3.0,Beograd Opština Savski venac,130000,2723.3487453316557
4133,54,2.5,Beograd Opština Voždovac,57000,1490.3747385405104
4134,36,2.0,Beograd Opština Novi Beograd,45000,1735.3775474934005
4135,85,3.0,Beograd Opština Stari grad,220000,2531.903872181951
4136,47,2.0,Beograd Opština Zvezdara,80000,1461.4519261140167
4137,59,3.0,Beograd Opština Zvezdara,135000,1461.4519261140167
4138,80,4.0,Beograd Opština Voždovac,105000,1490.3747385405104
4139,85,3.0,Beograd Opština Zemun,50000,1230.719435933011
4140,92,3.0,Beograd Opština Vračar,211600,2275.3672683163954
4141,120,5+,Beograd Opština Rakovica,130000,991.4218432222813
4142,36,1.5,Beograd Opština Palilula,39000,1282.912470736089
4143,31,1.5,Beograd Opština Palilula,33900,1282.912470736089
4144,52,2.0,Beograd Opština Palilula,47840,1282.912470736089
4146,55,2.0,Beograd Opština Savski venac,176888,2723.3487453316557
4148,81,3.0,Beograd Opština Savski venac,223888,2723.3487453316557
4149,79,3.0,Beograd Opština Savski venac,243888,2723.3487453316557
4150,90,3.0,Beograd Opština Savski venac,254888,2723.3487453316557
4151,56,2.0,Beograd Opština Savski venac,186888,2723.3487453316557
4152,88,3.0,Beograd Opština Savski venac,239888,2723.3487453316557
4157,64,3.0,Beograd Opština Stari grad,162000,2531.903872181951
4158,60,2.5,Beograd Opština Palilula,29000,1282.912470736089
4159,68,2.0,Beograd Opština Novi Beograd,68011,1735.3775474934005
4160,28,1.0,Beograd Opština Novi Beograd,28511,1735.3775474934005
4162,61,2.5,Beograd Opština Vračar,150000,2275.3672683163954
4163,84,3.0,Beograd Opština Savski venac,231888,2723.3487453316557
4164,62,2.0,Beograd Opština Savski venac,173888,2723.3487453316557
4168,52.23,2.0,Beograd Opština Savski venac,149888,2723.3487453316557
4169,53,2.0,Beograd Opština Savski venac,144888,2723.3487453316557
4170,64,2.5,Beograd Opština Savski venac,218888,2723.3487453316557
4171,68,2.5,Beograd Opština Savski venac,212888,2723.3487453316557
4172,82.16,3.0,Beograd Opština Savski venac,245888,2723.3487453316557
4175,82,3.0,Beograd Opština Savski venac,222888,2723.3487453316557
4176,80,3.0,Beograd Opština Savski venac,270000,2723.3487453316557
4177,81,3.0,Beograd Opština Savski venac,256888,2723.3487453316557
4178,87,3.0,Beograd Opština Savski venac,295888,2723.3487453316557
4179,88,3.0,Beograd Opština Savski venac,224888,2723.3487453316557
4180,62,2.0,Beograd Opština Savski venac,168888,2723.3487453316557
4181,88,3.0,Beograd Opština Savski venac,236888,2723.3487453316557
4182,88,3.0,Beograd Opština Savski venac,243888,2723.3487453316557
4183,88,3.0,Beograd Opština Savski venac,241888,2723.3487453316557
4184,82,3.0,Beograd Opština Savski venac,216888,2723.3487453316557
4185,89,3.0,Beograd Opština Savski venac,239888,2723.3487453316557
4186,89,3.0,Beograd Opština Savski venac,239888,2723.3487453316557
4191,66.53,3.0,Beograd Opština Savski venac,195888,2723.3487453316557
4195,70,3.0,Beograd Opština Savski venac,204888,2723.3487453316557
4196,53,2.0,Beograd Opština Savski venac,157888,2723.3487453316557
4197,67,3.0,Beograd Opština Savski venac,189888,2723.3487453316557
4198,80,3.0,Beograd Opština Savski venac,242888,2723.3487453316557
4199,58,2.0,Beograd Opština Savski venac,165888,2723.3487453316557
4200,85,3.0,Beograd Opština Savski venac,240888,2723.3487453316557
4201,80,3.0,Beograd Opština Savski venac,226888,2723.3487453316557
4202,54,2.0,Beograd Opština Savski venac,154888,2723.3487453316557
4203,79,3.0,Beograd Opština Savski venac,213888,2723.3487453316557
4204,79,3.0,Beograd Opština Savski venac,191888,2723.3487453316557
4205,85,3.0,Beograd Opština Savski venac,218888,2723.3487453316557
4206,57.80,2.0,Beograd Opština Savski venac,153888,2723.3487453316557
4207,53.65,2.0,Beograd Opština Savski venac,144888,2723.3487453316557
4212,56,2.0,Beograd Opština Savski venac,186000,2723.3487453316557
4213,71,2.0,Beograd Opština Savski venac,250888,2723.3487453316557
4215,92,3.0,Beograd Opština Savski venac,234888,2723.3487453316557
4216,90,3.0,Beograd Opština Savski venac,217888,2723.3487453316557
4217,82,3.0,Beograd Opština Savski venac,242888,2723.3487453316557
4220,70,2.0,Beograd Opština Savski venac,248888,2723.3487453316557
