ID,Squares,No_of_rooms,Address,Price,One_Sq
3645,63,3.0,Beograd Opština Voždovac,88000,1490.3747385405104
3647,61,3.0,Beograd Opština Zvezdara,92500,1461.4519261140167
3648,46,2.0,Beograd Opština Zvezdara,74500,1461.4519261140167
3649,50,2.5,Beograd Opština Voždovac,85000,1490.3747385405104
3650,21,0.5,Beograd Opština Novi Beograd,30500,1735.3775474934005
3651,94,2.5,Beograd Opština Zvezdara,189000,1461.4519261140167
3652,68,2.5,Beograd Opština Novi Beograd,110000,1735.3775474934005
3653,45,2.0,Beograd Opština Vračar,90000,2275.3672683163954
3654,63,2.0,Beograd Opština Vračar,125000,2275.3672683163954
3657,174,5+,Beograd Opština Čukarica,229000,1324.4002797487278
3658,67,3.0,Beograd Opština Novi Beograd,105000,1735.3775474934005
3659,153,5.0,Beograd Opština Vračar,210000,2275.3672683163954
3660,141,3.0,Beograd Opština Vračar,215000,2275.3672683163954
3661,139,3.5,Beograd Opština Voždovac,98000,1490.3747385405104
3662,134,4.5,Beograd Opština Voždovac,239900,1490.3747385405104
3663,130,5.0,Beograd Opština Novi Beograd,215000,1735.3775474934005
